"Points:0","Points:1","Points:2","X","Y"
13.303,-0.28544,14.106,13.303,-0.28544
13.319,-0.28544,14.106,13.319,-0.28544
13.334,-0.28544,14.106,13.334,-0.28544
13.349,-0.28544,14.106,13.349,-0.28544
13.364,-0.28544,14.106,13.364,-0.28544
13.38,-0.28544,14.106,13.38,-0.28544
13.395,-0.28544,14.106,13.395,-0.28544
13.41,-0.28544,14.106,13.41,-0.28544
13.426,-0.28544,14.106,13.426,-0.28544
13.441,-0.28544,14.106,13.441,-0.28544
13.456,-0.28544,14.106,13.456,-0.28544
13.471,-0.28544,14.106,13.471,-0.28544
13.487,-0.28544,14.106,13.487,-0.28544
13.502,-0.28544,14.106,13.502,-0.28544
13.517,-0.28544,14.106,13.517,-0.28544
13.532,-0.28544,14.106,13.532,-0.28544
13.548,-0.28544,14.106,13.548,-0.28544
13.563,-0.28544,14.106,13.563,-0.28544
13.578,-0.28544,14.106,13.578,-0.28544
13.594,-0.28544,14.106,13.594,-0.28544
13.609,-0.28544,14.106,13.609,-0.28544
13.624,-0.28544,14.106,13.624,-0.28544
13.639,-0.28544,14.106,13.639,-0.28544
13.655,-0.28544,14.106,13.655,-0.28544
13.67,-0.28544,14.106,13.67,-0.28544
13.685,-0.28544,14.106,13.685,-0.28544
13.7,-0.28544,14.106,13.7,-0.28544
13.716,-0.28544,14.106,13.716,-0.28544
13.731,-0.28544,14.106,13.731,-0.28544
13.746,-0.28544,14.106,13.746,-0.28544
13.762,-0.28544,14.106,13.762,-0.28544
13.777,-0.28544,14.106,13.777,-0.28544
13.792,-0.28544,14.106,13.792,-0.28544
13.807,-0.28544,14.106,13.807,-0.28544
13.823,-0.28544,14.106,13.823,-0.28544
13.838,-0.28544,14.106,13.838,-0.28544
13.853,-0.28544,14.106,13.853,-0.28544
13.868,-0.28544,14.106,13.868,-0.28544
13.884,-0.28544,14.106,13.884,-0.28544
13.899,-0.28544,14.106,13.899,-0.28544
13.914,-0.28544,14.106,13.914,-0.28544
13.93,-0.28544,14.106,13.93,-0.28544
13.945,-0.28544,14.106,13.945,-0.28544
13.96,-0.28544,14.106,13.96,-0.28544
13.975,-0.28544,14.106,13.975,-0.28544
13.991,-0.28544,14.106,13.991,-0.28544
14.006,-0.28544,14.106,14.006,-0.28544
14.021,-0.28544,14.106,14.021,-0.28544
14.036,-0.28544,14.106,14.036,-0.28544
14.052,-0.28544,14.106,14.052,-0.28544
14.067,-0.28544,14.106,14.067,-0.28544
14.082,-0.28544,14.106,14.082,-0.28544
14.098,-0.28544,14.106,14.098,-0.28544
14.113,-0.28544,14.106,14.113,-0.28544
14.128,-0.28544,14.106,14.128,-0.28544
14.143,-0.28544,14.106,14.143,-0.28544
14.159,-0.28544,14.106,14.159,-0.28544
14.174,-0.28544,14.106,14.174,-0.28544
14.189,-0.28544,14.106,14.189,-0.28544
14.204,-0.28544,14.106,14.204,-0.28544
14.22,-0.28544,14.106,14.22,-0.28544
14.235,-0.28544,14.106,14.235,-0.28544
14.25,-0.28544,14.106,14.25,-0.28544
